date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2024-01-07 00:00:00,2015.510376,-0.00111401,1,1,-0.000557005,-0.000557005,0.053744254,0.329044683,0.053744254
2024-01-08 00:00:00,2008.764282,-0.00334709,1,1,-0.00334709,-0.00334709,0.050217278,0.324596251,0.050217278
2024-01-09 00:00:00,2013.119263,0.00216799,1,1,0.00216799,0.00216799,0.052494138,0.327467962,0.052494138
2024-01-10 00:00:00,2000.66687,-0.006185621,1,1,-0.006185621,-0.006185621,0.045983808,0.319256749,0.045983808
2024-01-11 00:00:00,2013.643921,0.006486363,1,1,0.006486363,0.006486363,0.052768438,0.327813926,0.052768438
2024-01-12 00:00:00,2022.521973,0.004408948,1,1,0.004408948,0.004408948,0.05741004,0.333668189,0.05741004
2024-01-13 00:00:00,2019.264038,-0.001610828,1,1,-0.001610828,-0.001610828,0.055706734,0.331519879,0.055706734
2024-01-14 00:00:00,2019.943604,0.000336541,1,1,0.000336541,0.000336541,0.056062023,0.331967991,0.056062023
2024-01-15 00:00:00,2038.781128,0.009325768,1,1,0.009325768,0.009325768,0.065910612,0.344389614,0.065910612
2024-01-16 00:00:00,2017.204956,-0.010582878,1,1,-0.010582878,-0.010582878,0.05463021,0.330162103,0.05463021
2024-01-17 00:00:00,2003.484009,-0.00680196,0,0.5,-0.00680196,-0.00680196,0.047456658,0.321114394,0.047456658
2024-01-18 00:00:00,2013.674072,0.005086172,0,0.5,0.002543086,0.002543086,0.05012043,0.327833808,0.05012043
2024-01-19 00:00:00,2010.456665,-0.00159778,0,0.5,-0.00079889,-0.00079889,0.049281499,0.325712223,0.049281499
2024-01-20 00:00:00,2011.635864,0.000586533,0,0.5,0.000293267,0.000293267,0.049589219,0.326489797,0.049589219
2024-01-21 00:00:00,2006.835938,-0.002386081,0,0.5,-0.001193041,-0.001193041,0.048337016,0.323324684,0.048337016
2024-01-22 00:00:00,1998.950195,-0.00392944,0,0.5,-0.00196472,-0.00196472,0.046277327,0.318124759,0.046277327
2024-01-23 00:00:00,2008.285767,0.004670237,0,0.5,0.002335119,0.002335119,0.048720509,0.324280714,0.048720509
2024-01-24 00:00:00,2003.419678,-0.002423006,0,0.5,-0.001211503,-0.001211503,0.04744998,0.321071973,0.04744998
